P/N,NTCG104ED104DT1X,,,,,
R25,100,kĦ +/-,0.5,%,,
B25/50,4250,K  +/- ,0.5,%,,
 ,,,,,,
Temp,Min,Nom,Max,B25/T, -dT,dT
(degC),(k ohm),(k ohm),(k ohm),(K),(degC),(degC)
57,24.71,25.01,25.31,4263,-0.31,0.3
58,23.75,24.04,24.33,4265,-0.31,0.31
59,22.83,23.11,23.4,4267,-0.32,0.32
60,21.95,22.22,22.5,4269,-0.33,0.33
61,21.1,21.37,21.65,4270,-0.33,0.33
62,20.3,20.56,20.83,4272,-0.34,0.34
63,19.52,19.78,20.04,4274,-0.35,0.35
64,18.78,19.04,19.29,4276,-0.35,0.35
65,18.08,18.32,18.57,4277,-0.36,0.36
66,17.4,17.64,17.88,4279,-0.37,0.37
67,16.75,16.99,17.22,4281,-0.37,0.37
68,16.13,16.36,16.59,4282,-0.38,0.38
69,15.54,15.76,15.99,4284,-0.39,0.39
70,14.97,15.18,15.4,4286,-0.4,0.4
71,14.42,14.63,14.85,4287,-0.4,0.4
72,13.9,14.1,14.31,4289,-0.41,0.41
73,13.39,13.6,13.8,4290,-0.42,0.42
74,12.91,13.11,13.31,4292,-0.43,0.43
75,12.45,12.64,12.84,4293,-0.43,0.43
76,12.01,12.19,12.39,4295,-0.44,0.44
77,11.58,11.76,11.95,4296,-0.45,0.45
78,11.17,11.35,11.53,4298,-0.46,0.46
79,10.78,10.96,11.13,4299,-0.46,0.46
80,10.41,10.58,10.75,4301,-0.47,0.47
81,10.04,10.21,10.38,4302,-0.48,0.48
82,9.697,9.859,10.02,4304,-0.49,0.49
83,9.364,9.522,9.683,4305,-0.49,0.49
84,9.044,9.198,9.355,4307,-0.5,0.5
85,8.736,8.887,9.04,4308,-0.51,0.51
86,8.44,8.587,8.737,4309,-0.52,0.52
87,8.156,8.299,8.445,4311,-0.52,0.53
88,7.882,8.022,8.165,4312,-0.53,0.53
89,7.619,7.756,7.895,4313,-0.54,0.54
90,7.367,7.5,7.636,4315,-0.55,0.55
91,7.123,7.254,7.386,4316,-0.56,0.56
92,6.889,7.016,7.146,4317,-0.56,0.57
93,6.664,6.788,6.914,4319,-0.57,0.57
94,6.447,6.568,6.692,4320,-0.58,0.58
95,6.238,6.357,6.477,4321,-0.59,0.59
96,6.038,6.153,6.271,4322,-0.6,0.6
97,5.844,5.957,6.072,4323,-0.6,0.61
98,5.658,5.768,5.88,4325,-0.61,0.61
99,5.478,5.586,5.695,4326,-0.62,0.62
100,5.305,5.41,5.517,4327,-0.63,0.63
101,5.138,5.241,5.345,4328,-0.64,0.64
102,4.978,5.078,5.18,4329,-0.65,0.65
103,4.823,4.921,5.02,4330,-0.65,0.66
104,4.674,4.769,4.866,4331,-0.66,0.66
105,4.53,4.623,4.718,4332,-0.67,0.67
106,4.391,4.482,4.575,4334,-0.68,0.68
107,4.257,4.346,4.437,4335,-0.69,0.69
108,4.128,4.215,4.303,4336,-0.7,0.7
109,4.003,4.088,4.175,4337,-0.71,0.71
110,3.883,3.966,4.05,4338,-0.71,0.72
111,3.767,3.848,3.931,4339,-0.72,0.73
112,3.655,3.734,3.815,4340,-0.73,0.73
113,3.546,3.624,3.703,4340,-0.74,0.74
114,3.442,3.518,3.595,4341,-0.75,0.75
115,3.341,3.415,3.491,4342,-0.76,0.76
116,3.244,3.316,3.39,4343,-0.77,0.77
117,3.149,3.22,3.292,4344,-0.78,0.78
118,3.059,3.128,3.198,4345,-0.78,0.79
119,2.971,3.038,3.107,4346,-0.79,0.8
120,2.886,2.952,3.019,4347,-0.8,0.81
121,2.804,2.868,2.934,4347,-0.81,0.81
122,2.724,2.787,2.852,4348,-0.82,0.82
123,2.647,2.709,2.772,4349,-0.83,0.83
124,2.573,2.634,2.695,4350,-0.84,0.84
125,2.501,2.561,2.621,4351,-0.85,0.85
